State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
West Bengal,Medinipur(E),Tamluk (Medinipur E) APMC,Onion,Onion,FAQ,25-02-2026,1200,1600,1400
Kerala,Kozhikode(Calicut),Mukkom APMC,Banana,Other,Large,25-02-2026,4400,4700,4600
Himachal Pradesh,Kangra,SMY Palampur,Brinjal,Brinjal,FAQ,25-02-2026,3000,3500,3200
Himachal Pradesh,Kangra,SMY Palampur,Guava,Guava,Medium,25-02-2026,8500,11000,9500
Uttar Pradesh,Khiri (Lakhimpur),Maigalganj APMC,Brinjal,Round/Long,FAQ,25-02-2026,650,700,675
Himachal Pradesh,Kangra,SMY Jaisinghpur,Pomegranate,Other,Medium,25-02-2026,13000,16000,15000
Kerala,Kottayam,Kottayam APMC,Bengal Gram(Gram)(Whole),Bengal Gram (Split),FAQ,25-02-2026,7400,8400,7900
Himachal Pradesh,Kangra,SMY Palampur,Tomato,Tomato,FAQ,25-02-2026,1800,2000,1900
Uttar Pradesh,Khiri (Lakhimpur),Maigalganj APMC,Bottle gourd,Bottle Gourd,FAQ,25-02-2026,580,615,600
Himachal Pradesh,Kangra,SMY Jaisinghpur,Indian Colza(Sarson),Indian Colza(Sarson),FAQ,25-02-2026,2100,2500,2300
Himachal Pradesh,Kullu,SMY Bhuntar,Potato,Other,FAQ,25-02-2026,800,1400,1200
Uttar Pradesh,Khiri (Lakhimpur),Maigalganj APMC,Lemon,Lemon,FAQ,25-02-2026,3500,3600,3550
Punjab,Ludhiana,Khanna APMC,Onion,Onion,Grade A,25-02-2026,1500,1500,1500
Punjab,Hoshiarpur,GarhShankar (Kotfatuhi) APMC,Cauliflower,Other,FAQ,25-02-2026,700,700,700
Uttar Pradesh,Khiri (Lakhimpur),Maigalganj APMC,Onion,Red,FAQ,25-02-2026,1100,1200,1150
Punjab,Ludhiana,Khanna APMC,Pomegranate,Other,Grade A,25-02-2026,9000,9000,9000
Himachal Pradesh,Kangra,SMY Jaisinghpur,Cucumbar(Kheera),Cucumbar,FAQ,25-02-2026,4000,4500,4200
Haryana,Faridabad,Ballabhgarh APMC,Raddish,Other,FAQ,25-02-2026,500,1000,800
Kerala,Kozhikode(Calicut),Mukkom APMC,Bitter gourd,Bitter Gourd,FAQ,25-02-2026,4800,5200,5000
Himachal Pradesh,Hamirpur,SMY Nadaun,Cauliflower,Cauliflower,Grade B,25-02-2026,800,1000,900
Punjab,Pathankot,Pathankot APMC,Capsicum,Capsicum,Medium,25-02-2026,2900,2900,2900
Punjab,Ludhiana,Khanna APMC,Potato,Local,Grade A,25-02-2026,400,400,400
Kerala,Kozhikode(Calicut),Mukkom APMC,Pumpkin,Pumpkin,FAQ,25-02-2026,1400,1600,1500
Himachal Pradesh,Kangra,SMY Jaisinghpur,Guava,Guava,Medium,25-02-2026,9000,12000,10500
Punjab,Ludhiana,Khanna APMC,Round gourd,Other,Grade A,25-02-2026,1500,1500,1500
Himachal Pradesh,Kullu,SMY Bhuntar,Peas Wet,Other,FAQ,25-02-2026,3000,3500,3300
Punjab,Fazilka,Jalalabad APMC,Ginger(Green),Other,Medium,25-02-2026,5800,6000,5900
Punjab,Ludhiana,Khanna APMC,Chikoos(Sapota),Other,Grade A,25-02-2026,4000,4000,4000
Uttar Pradesh,Aligarh,Khair APMC,Brinjal,Round/Long,Grade B,25-02-2026,1500,1500,1500
Himachal Pradesh,Kangra,SMY Jaisinghpur,Spinach,Other,FAQ,25-02-2026,2000,2200,2100
Kerala,Kozhikode(Calicut),Mukkom APMC,Tomato,Tomato,FAQ,25-02-2026,2200,2600,2400
Uttar Pradesh,Aligarh,Khair APMC,Potato,Local,Grade B,25-02-2026,600,600,600
Punjab,Ropar (Rupnagar),Chamkaur Sahib APMC,Ginger(Green),Green Ginger,Medium,25-02-2026,7000,7000,7000
Uttar Pradesh,Bulandshahar,Anoop Shahar APMC,Cucumbar(Kheera),Cucumbar,FAQ,25-02-2026,1800,2200,2000
Uttar Pradesh,Aligarh,Khair APMC,Green Chilli,Green Chilly,Grade B,25-02-2026,6500,6500,6500
Punjab,Ropar (Rupnagar),Chamkaur Sahib APMC,Lemon,Lemon,Medium,25-02-2026,6000,6000,6000
Himachal Pradesh,Kullu,SMY Bhuntar,Onion,Other,FAQ,25-02-2026,2000,2400,2200
Punjab,Fazilka,Jalalabad APMC,Cauliflower,Other,Medium,25-02-2026,350,450,400
West Bengal,Darjeeling,Siliguri APMC,Masur Dal,Masur Dal,FAQ,25-02-2026,12100,12300,12200
Punjab,Fazilka,Jalalabad APMC,Papaya,Papaya,Medium,25-02-2026,3500,3700,3600
Kerala,Kottayam,Kottayam APMC,Banana,Poovan,Medium,25-02-2026,7200,7600,7400
Punjab,Ropar (Rupnagar),Chamkaur Sahib APMC,Pomegranate,Other,Medium,25-02-2026,10000,10000,10000
Kerala,Kollam,Anchal APMC,Brinjal,Brinjal,Local,25-02-2026,4600,4600,4600
Himachal Pradesh,Kangra,SMY Baijnath,Papaya,Papaya,Grade B,25-02-2026,3500,4000,3800
Punjab,Hoshiarpur,Garh Shankar APMC,Grapes,Other,Medium,25-02-2026,8500,8500,8500
Punjab,Hoshiarpur,Garh Shankar APMC,Papaya,Papaya,Medium,25-02-2026,2200,2200,2200
Punjab,Fazilka,Jalalabad APMC,Capsicum,Capsicum,Medium,25-02-2026,2500,2600,2550
Gujarat,Gir Somnath,Talalagir APMC,Cabbage,Cabbage,FAQ,25-02-2026,1100,1350,1200
Gujarat,Gir Somnath,Talalagir APMC,Brinjal,Brinjal,FAQ,25-02-2026,3500,3850,3680
Himachal Pradesh,Kullu,SMY Bhuntar,Coriander(Leaves),Other,FAQ,25-02-2026,500,700,650
Punjab,Jalandhar,Mehatpur APMC,Peas Wet,Peas Wet,Local,25-02-2026,2000,2500,2200
Kerala,Kollam,Anchal APMC,Cabbage,Cabbage,Medium,25-02-2026,5000,5000,5000
West Bengal,Darjeeling,Darjeeling APMC,Squash(Chappal Kadoo),Other,FAQ,25-02-2026,1800,2000,1900
Kerala,Kollam,Anchal APMC,Tomato,Tomato,Local,25-02-2026,3500,3500,3500
Himachal Pradesh,Kangra,SMY Baijnath,Grapes,Green,Grade A,25-02-2026,14000,20000,18000
Uttar Pradesh,Mirzapur,Ahirora APMC,Green Chilli,Green Chilly,Medium,25-02-2026,5000,5000,5000
Punjab,Pathankot,Pathankot APMC,Carrot,Carrot,Medium,25-02-2026,1300,1300,1300
Himachal Pradesh,Kangra,SMY Baijnath,Capsicum,Capsicum,Grade B,25-02-2026,5400,5500,5500
West Bengal,Darjeeling,Darjeeling APMC,Tomato,Other,FAQ,25-02-2026,2900,3100,3000
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Guava,Other,Grade A,25-02-2026,4000,5500,5000
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Orange,Other,Grade A,25-02-2026,7000,9000,8000
Kerala,Kollam,Anchal APMC,Tapioca,Other,Local,25-02-2026,2600,2600,2600
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Water Melon,Other,Grade A,25-02-2026,2000,3000,2500
Uttar Pradesh,Balrampur,Panchpedwa APMC,Paddy(Common),Paddy,FAQ,25-02-2026,2200,2300,2250
Punjab,Ludhiana,Doraha APMC,Potato,Desi,Local,25-02-2026,400,600,500
Assam,Nagaon,Haibargaon APMC,Cabbage,Cabbage,FAQ,25-02-2026,1000,1200,1100
Kerala,Kollam,Anchal APMC,Carrot,Carrot,Local,25-02-2026,5700,5700,5700
Himachal Pradesh,Kangra,SMY Baijnath,Bhindi(Ladies Finger),Bhindi,Grade B,25-02-2026,6000,6200,6100
Himachal Pradesh,Kangra,SMY Baijnath,Coriander(Leaves),Coriander,Grade B,25-02-2026,3800,4000,3900
Uttar Pradesh,Balrampur,Panchpedwa APMC,Wheat,Dara,FAQ,25-02-2026,2500,2600,2550
Kerala,Kollam,Anchal APMC,Pineapple,Other,Medium,25-02-2026,5200,5200,5200
West Bengal,Darjeeling,Karsiyang(Matigara) APMC,Cabbage,Other,FAQ,25-02-2026,2300,2500,2400
Haryana,Ambala,Barara APMC,Mustard,Big 100 Kg,Non-FAQ,25-02-2026,5751,7000,6375
Haryana,Hissar,Hansi APMC,Apple,Other,Grade B,25-02-2026,6000,12000,9000
Himachal Pradesh,Kangra,SMY Baijnath,Indian Colza(Sarson),Indian Colza(Sarson),Grade B,25-02-2026,2000,2100,2100
Uttar Pradesh,Balrampur,Panchpedwa APMC,Banana - Green,Banana - Green,FAQ,25-02-2026,1100,1300,1200
Himachal Pradesh,Kangra,SMY Baijnath,Lemon,Lemon,Grade A,25-02-2026,12000,13000,13000
West Bengal,Darjeeling,Karsiyang(Matigara) APMC,Potato,Red,FAQ,25-02-2026,2000,2200,2100
Punjab,Ludhiana,Doraha APMC,Garlic,Average,Local,25-02-2026,11000,11000,11000
Himachal Pradesh,Shimla,SMY Rohroo,Brinjal,Arkasheela Mattigulla,Grade A,25-02-2026,2500,3000,2800
Gujarat,Gandhinagar,Mansa(Manas Veg Yard) APMC,Bottle gourd,Other,Local,25-02-2026,1500,1500,1500
Gujarat,Gandhinagar,Mansa(Manas Veg Yard) APMC,Brinjal,Brinjal,Local,25-02-2026,1500,1500,1500
Kerala,Kottayam,Kottayam APMC,Bitter gourd,Bitter Gourd,FAQ,25-02-2026,4800,5200,5000
Kerala,Kottayam,Kottayam APMC,Brinjal,Brinjal,FAQ,25-02-2026,4400,4800,4600
Himachal Pradesh,Mandi,SMY Jogindernagar,Brinjal,Other,Grade B,25-02-2026,2600,2800,2700
Odisha,Dhenkanal,Dhenkanal APMC,Brinjal,Brinjal,Grade B,25-02-2026,3000,3000,3000
Kerala,Wayanad,Pulpally APMC,Pumpkin,Other,Local,25-02-2026,800,1000,900
Himachal Pradesh,Shimla,SMY Rohroo,Capsicum,Capsicum,Grade A,25-02-2026,5000,5500,5250
Uttar Pradesh,Balrampur,Panchpedwa APMC,Potato,Potato,FAQ,25-02-2026,800,1000,900
Himachal Pradesh,Shimla,SMY Rohroo,Green Chilli,Green Chilly,Grade A,25-02-2026,9000,10000,9500
Kerala,Kottayam,Kottayam APMC,Pineapple,Pine Apple,Medium,25-02-2026,6000,6400,6200
Assam,Nagaon,Haibargaon APMC,Pumpkin,Pumpkin,FAQ,25-02-2026,900,1100,1000
Haryana,Hissar,Hansi APMC,Mango,Other,Grade B,25-02-2026,10000,10000,10000
Kerala,Kottayam,Kottayam APMC,Bhindi(Ladies Finger),Bhindi,FAQ,25-02-2026,4000,4400,4200
Haryana,Hissar,Hansi APMC,Water Melon,Other,Grade B,25-02-2026,2500,3000,2800
Assam,Nagaon,Ambagan APMC,Cauliflower,Cauliflower,FAQ,25-02-2026,1050,1250,1150
Gujarat,Gandhinagar,Mansa(Manas Veg Yard) APMC,Potato,Other,Local,25-02-2026,800,800,800
Kerala,Kottayam,Kottayam APMC,Cowpea(Veg),Cowpea (Veg),FAQ,25-02-2026,3800,4200,4000
Jammu and Kashmir,Udhampur,Udhampur APMC,Apple,Apple,Grade B,25-02-2026,12000,12000,12000
Himachal Pradesh,Mandi,SMY Jogindernagar,Carrot,Other,Grade B,25-02-2026,1600,1800,1700
Kerala,Kollam,Chathanoor APMC,Onion,Other,FAQ,25-02-2026,2800,3200,3000
Uttar Pradesh,Maharajganj,Anandnagar APMC,Papaya,Papaya,Medium,25-02-2026,2650,2850,2750
Kerala,Kollam,Chathanoor APMC,Bitter gourd,Other,FAQ,25-02-2026,7800,8200,8000
Gujarat,Gandhinagar,Mansa(Manas Veg Yard) APMC,Cauliflower,Cauliflower,Local,25-02-2026,1000,1500,1000
Odisha,Dhenkanal,Dhenkanal APMC,Cabbage,Cabbage,Grade B,25-02-2026,1700,1700,1700
Himachal Pradesh,Shimla,SMY Rohroo,Onion Green,Onion Green,Grade A,25-02-2026,3000,4000,3500
Kerala,Kollam,Chathanoor APMC,Snakeguard,Other,FAQ,25-02-2026,4800,5200,5000
Himachal Pradesh,Shimla,SMY Rohroo,Peas Wet,Other,Grade A,25-02-2026,3000,3200,3100
Haryana,Hissar,Hansi APMC,Bitter gourd,Other,FAQ,25-02-2026,7000,7000,7000
Kerala,Palakad,Pattambi APMC,Banana - Green,Banana - Green,FAQ,25-02-2026,3000,3500,3200
Gujarat,Gandhinagar,Mansa(Manas Veg Yard) APMC,Tomato,Tomato,Local,25-02-2026,500,600,500
Kerala,Kollam,Chathanoor APMC,Potato,Other,FAQ,25-02-2026,3800,4200,4000
Kerala,Thirssur,Varandarappilly  VFPCK APMC,Banana,Robusta,Grade A,25-02-2026,1500,3000,2500
Uttar Pradesh,Aligarh,Charra APMC,Brinjal,Brinjal,FAQ,25-02-2026,1600,1700,1650
Kerala,Kozhikode(Calicut),Quilandy APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,25-02-2026,3500,3600,3500
Gujarat,Gandhinagar,Mansa(Manas Veg Yard) APMC,Methi(Leaves),Methi,Local,25-02-2026,1000,2500,1000
Uttar Pradesh,Aligarh,Charra APMC,Maize,Hybrid,FAQ,25-02-2026,2100,2200,2150
Jammu and Kashmir,Udhampur,Udhampur APMC,Tomato,Other,Grade B,25-02-2026,2250,2250,2250
Jammu and Kashmir,Udhampur,Udhampur APMC,Potato,Other,Grade B,25-02-2026,750,750,750
Jammu and Kashmir,Udhampur,Udhampur APMC,Raddish,Other,Grade B,25-02-2026,900,900,900
Haryana,Hissar,Hansi APMC,Potato,Other,FAQ,25-02-2026,600,2000,700
Haryana,Sonipat,Gohana APMC,Onion,Other,Medium,25-02-2026,1000,1800,1200
Himachal Pradesh,Mandi,SMY Jogindernagar,Onion,Local,Grade B,25-02-2026,2000,2200,2100
Haryana,Hissar,Hansi APMC,Raddish,Other,FAQ,25-02-2026,800,1000,900
Kerala,Kollam,Chathanoor APMC,Banana,Red Banana,Medium,25-02-2026,6800,7200,7000
Himachal Pradesh,Hamirpur,SMY Nadaun,Cucumbar(Kheera),Cucumbar,Grade B,25-02-2026,4000,4200,4100
Kerala,Kottayam,Athirampuzha APMC,Banana - Green,Banana - Green,FAQ,25-02-2026,2800,3000,2900
Haryana,Hissar,Hansi APMC,Pumpkin,Other,FAQ,25-02-2026,1000,1200,1100
Haryana,Hissar,Hansi APMC,Tomato,Other,FAQ,25-02-2026,1000,2000,1500
Odisha,Boudh,Boudh APMC,Banana - Green,Other,Local,25-02-2026,3000,4000,3500
Haryana,Sonipat,Gohana APMC,Bhindi(Ladies Finger),Other,Medium,25-02-2026,4000,6000,5000
Uttar Pradesh,Sitapur,Sitapur APMC,Wheat,Dara,Local,25-02-2026,2370,2400,2390
Haryana,Yamuna Nagar,Chhachrauli APMC,Carrot,Carrot,Medium,25-02-2026,1600,1900,1600
Uttar Pradesh,Prayagraj,Prayagraj APMC,Potato,Badshah,FAQ,25-02-2026,540,620,550
Odisha,Boudh,Boudh APMC,Potato,Other,Local,25-02-2026,1000,2000,1500
Haryana,Sonipat,Ganaur APMC,Ginger(Green),Green Ginger,Medium,25-02-2026,6500,7000,6800
Himachal Pradesh,Hamirpur,PMY Hamirpur,Potato,Other,Grade B,25-02-2026,800,1500,1200
Uttar Pradesh,Sitapur,Sitapur APMC,Paddy(Common),Common,Local,25-02-2026,1750,1800,1780
Haryana,Sonipat,Ganaur APMC,Peas Wet,Peas Wet,Medium,25-02-2026,2200,2500,2400
Haryana,Sonipat,Ganaur APMC,Brinjal,Brinjal,Medium,25-02-2026,1500,1800,1600
Himachal Pradesh,Mandi,SMY Jogindernagar,Potato,Desi,Grade B,25-02-2026,800,900,850
Haryana,Sonipat,Ganaur APMC,Garlic,Average,Local,25-02-2026,15000,16000,15000
Himachal Pradesh,Kangra,SMY Dharamshala,Mousambi(Sweet Lime),Mousambi,Medium,25-02-2026,5500,6000,5750
Odisha,Boudh,Boudh APMC,Green Chilli,Other,Local,25-02-2026,5000,6000,5500
Uttar Pradesh,Prayagraj,Prayagraj APMC,Raddish,Raddish,FAQ,25-02-2026,650,720,680
Punjab,Ropar (Rupnagar),Morinda APMC,Banana,Medium,Local,25-02-2026,3000,3000,3000
Himachal Pradesh,Kangra,SMY Dharamshala,Banana,Banana - Ripe,Medium,25-02-2026,4000,4200,4100
Odisha,Rayagada,Rayagada APMC,Green Chilli,Green Chilly,Local,25-02-2026,5900,6000,6000
Haryana,Sonipat,Gohana APMC,Grapes,Other,Medium,25-02-2026,10000,12000,11000
Himachal Pradesh,Kangra,SMY Dharamshala,Guava,Guava,Medium,25-02-2026,7500,9000,8250
Telangana,Khammam,Dammapet APMC,Paddy(Common),1001,FAQ,25-02-2026,2400,2400,2400
Haryana,Sonipat,Ganaur APMC,Raddish,Raddish,Medium,25-02-2026,1000,1200,1000
Odisha,Sundergarh,Bonai APMC,Brinjal,Other,FAQ,25-02-2026,2890,3320,3010
Himachal Pradesh,Hamirpur,PMY Hamirpur,Raddish,Raddish,Grade B,25-02-2026,1600,1800,1700
Rajasthan,Jalore,Jalore APMC,Bitter gourd,Other,Local,25-02-2026,2000,2500,2300
Punjab,Ropar (Rupnagar),Morinda APMC,Cabbage,Cabbage,Local,25-02-2026,600,600,600
Haryana,Sonipat,Gohana APMC,Banana,Other,Medium,25-02-2026,2000,3000,2500
Himachal Pradesh,Kangra,SMY Dharamshala,Pineapple,Pine Apple,Medium,25-02-2026,4500,9000,7250
Himachal Pradesh,Kangra,SMY Dharamshala,Brinjal,Brinjal,FAQ,25-02-2026,2500,2800,2650
Rajasthan,Jalore,Jalore APMC,Brinjal,Brinjal,Local,25-02-2026,800,1000,900
Odisha,Sundergarh,Bonai APMC,Cucumbar(Kheera),Other,FAQ,25-02-2026,2000,2480,2160
Uttar Pradesh,Saharanpur,Gangoh APMC,Field Pea,Field Pea,FAQ,25-02-2026,1900,2100,2000
Odisha,Balasore,Jaleswar APMC,Tomato,Other,Local,25-02-2026,1200,1400,1300
Himachal Pradesh,Kangra,SMY Dharamshala,Bottle gourd,Bottle Gourd,FAQ,25-02-2026,4500,4800,4650
Himachal Pradesh,Hamirpur,PMY Hamirpur,Cucumbar(Kheera),Cucumbar,Grade B,25-02-2026,4000,4200,4100
Rajasthan,Jalore,Jalore APMC,Bhindi(Ladies Finger),Bhindi,Local,25-02-2026,4200,4500,4300
Uttar Pradesh,Amroha,Dhanaura APMC,Cucumbar(Kheera),Cucumbar,Medium,25-02-2026,1500,1500,1500
Punjab,Ropar (Rupnagar),Morinda APMC,Bhindi(Ladies Finger),Bhindi,Medium,25-02-2026,7000,9000,8000
Odisha,Balasore,Jaleswar APMC,Potato,Other,Local,25-02-2026,700,900,800
Himachal Pradesh,Kangra,SMY Dharamshala,Capsicum,Capsicum,FAQ,25-02-2026,5500,6000,5750
Uttarakhand,Haridwar,Lakshar APMC,Wheat,Deshi,Local,25-02-2026,2490,2525,2500
Uttar Pradesh,Sambhal,Bhehjoi APMC,Black Gram(Urd Beans)(Whole),Black Gram (Whole),Local,25-02-2026,6700,6710,6705
Uttarakhand,Udhamsinghnagar,Kicchha APMC,Potato,Desi,Non-FAQ,25-02-2026,600,800,700
Uttar Pradesh,Sambhal,Bhehjoi APMC,Wheat,Dara,Local,25-02-2026,2500,2550,2520
Kerala,Ernakulam,Thrippunithura APMC,Bottle gourd,Bottle Gourd,Medium,25-02-2026,3600,6000,3800
Punjab,Tarntaran,Patti APMC,Cabbage,Other,Local,25-02-2026,1000,1000,1000
Uttarakhand,Udhamsinghnagar,Rudrapur APMC,Tomato,Other,Medium,25-02-2026,1200,2000,1500
Haryana,Mahendragarh-Narnaul,Narnaul APMC,Peas Wet,Peas Wet,Medium,25-02-2026,2000,2500,2500
Uttarakhand,Udhamsinghnagar,Rudrapur APMC,Peas Wet,Other,Medium,25-02-2026,1200,2000,1400
Haryana,Panipat,Panipat APMC,Orange,Other,Local,25-02-2026,4000,6000,5000
Uttar Pradesh,Shravasti,Payagpur APMC,Onion,Other,FAQ,25-02-2026,1800,2000,1900
Uttar Pradesh,Badaun,Shahaswan APMC,Brinjal,Brinjal,Medium,25-02-2026,1200,1200,1200
Haryana,Panipat,Panipat APMC,Apple,Other,Local,25-02-2026,8000,24000,16000
Uttarakhand,Udhamsinghnagar,Rudrapur APMC,Pumpkin,Other,Medium,25-02-2026,1200,1800,1500
Kerala,Ernakulam,North Paravur APMC,Black pepper,Garbled,Grade Range-1,25-02-2026,75000,95000,80000
Kerala,Palakad,Pattambi APMC,Elephant Yam(Suran)/Amorphophallus,Amorphophallus,FAQ,25-02-2026,2600,3000,2800
Kerala,Kottayam,Kottayam APMC,Potato,Potato,FAQ,25-02-2026,2800,3200,3000
Uttarakhand,Udhamsinghnagar,Rudrapur APMC,Cucumbar(Kheera),Other,Medium,25-02-2026,2000,3000,2500
Himachal Pradesh,Kangra,SMY Dharamshala,Ginger(Green),Green Ginger,FAQ,25-02-2026,7500,8000,7750
Haryana,Panipat,Panipat APMC,Pomegranate,Pomogranate,Local,25-02-2026,3000,11000,7000
Haryana,Panipat,Panipat APMC,Bottle gourd,Bottle Gourd,Local,25-02-2026,700,1500,1100
Kerala,Palakad,Pattambi APMC,Cluster beans,Cluster Beans,FAQ,25-02-2026,3500,4000,3800
Punjab,Sangrur,Ahmedgarh APMC,Methi(Leaves),Other,Local,25-02-2026,700,800,700
Kerala,Ernakulam,North Paravur APMC,Coconut,Big,Local,25-02-2026,5800,6800,6500
Himachal Pradesh,Kangra,SMY Dharamshala,Garlic,Garlic,FAQ,25-02-2026,14000,15000,14500
Haryana,Panipat,Panipat APMC,Guava,Other,Local,25-02-2026,1500,3500,2500
Kerala,Ernakulam,North Paravur APMC,Ashgourd,Ashgourd,Medium,25-02-2026,1800,2500,2000
Haryana,Mahendragarh-Narnaul,Narnaul APMC,Cauliflower,Cauliflower,Medium,25-02-2026,800,1000,1000
Uttar Pradesh,Shravasti,Payagpur APMC,Raddish,Raddish,FAQ,25-02-2026,800,1000,900
Haryana,Panipat,Panipat APMC,Cabbage,Other,Local,25-02-2026,400,1000,700
Kerala,Kannur,Kannur APMC,Onion,Onion,Grade A,25-02-2026,2100,2300,2200
Uttarakhand,Udhamsinghnagar,Rudrapur APMC,Capsicum,Other,Medium,25-02-2026,2000,3000,2500
Kerala,Palakad,Vaniyamkulam  VFPCK APMC,Bitter gourd,Bitter Gourd,Grade A,25-02-2026,5700,5900,5800
Uttarakhand,Udhamsinghnagar,Kicchha APMC,Banana,Banana - Ripe,Local,25-02-2026,600,800,700
Andhra Pradesh,Palnadu,Gurazala APMC,Chili Red,Red,Grade Range-1,25-02-2026,11000,21000,16000
Odisha,Sundergarh,Panposh APMC,Bottle gourd,Other,FAQ,25-02-2026,2000,2500,2200
Manipur,Imphal East,Lamlong Bazaar APMC,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,25-02-2026,13000,14000,13500
Kerala,Kottayam,Kottayam APMC,Snakeguard,Snakeguard,FAQ,25-02-2026,4000,4400,4200
Manipur,Imphal East,Lamlong Bazaar APMC,Banana,Other,Medium,25-02-2026,4500,5000,4750
Kerala,Thiruvananthapuram,Neyyatinkara APMC,Pumpkin,Other,FAQ,25-02-2026,2300,3000,2600
Manipur,Imphal East,Lamlong Bazaar APMC,Green Gram Dal(Moong Dal),Green Gram Dal,FAQ,25-02-2026,13000,14000,13500
Gujarat,Valsad,Pardi(Rohinee) APMC,Chikoos(Sapota),Other,Medium,25-02-2026,2100,2500,2200
Haryana,Hissar,Uklana APMC,Tomato,Tomato,Medium,25-02-2026,1800,1800,1800
Kerala,Ernakulam,Thrippunithura APMC,Cucumbar(Kheera),Cucumbar,Medium,25-02-2026,2400,4000,2700
Uttarakhand,Nanital,Ramnagar APMC,Tomato,Other,Local,25-02-2026,800,1000,900
Himachal Pradesh,Hamirpur,SMY Nadaun,French Beans(Frasbean),Other,Grade B,25-02-2026,6000,7000,6500
Odisha,Sundergarh,Panposh APMC,Brinjal,Brinjal,FAQ,25-02-2026,2000,2500,2300
Assam,Nagaon,Doomdumia APMC,Potato,Potato,FAQ,25-02-2026,1100,1300,1200
Himachal Pradesh,Mandi,PMY Kangni Mandi,Apple,Apple,Grade B,25-02-2026,5800,15000,13000
Haryana,Mahendragarh-Narnaul,Narnaul APMC,Pumpkin,Pumpkin,Medium,25-02-2026,800,1500,1000
Kerala,Ernakulam,North Paravur APMC,Bhindi(Ladies Finger),Bhindi,Medium,25-02-2026,4500,5000,4800
Haryana,Mahendragarh-Narnaul,Narnaul APMC,Capsicum,Capsicum,Medium,25-02-2026,3000,4000,4000
Odisha,Sundergarh,Panposh APMC,Pumpkin,Other,FAQ,25-02-2026,800,1300,1000
Kerala,Ernakulam,Thrippunithura APMC,Lemon,Other,Medium,25-02-2026,12000,14000,12200
Kerala,Alappuzha,Chengannur APMC,Elephant Yam(Suran)/Amorphophallus,Amorphophallus,FAQ,25-02-2026,3700,4000,3800
Kerala,Kozhikode(Calicut),Quilandy APMC,Amaranthus,Other,FAQ,25-02-2026,3000,3200,3000
Haryana,Mahendragarh-Narnaul,Narnaul APMC,Tomato,Tomato,Medium,25-02-2026,800,1200,1000
Kerala,Ernakulam,Thrippunithura APMC,Indian Beans(Seam),Other,Medium,25-02-2026,5000,6000,5200
Himachal Pradesh,Hamirpur,PMY Hamirpur,Garlic,Other,Grade Range-2,25-02-2026,13000,14000,13500
Rajasthan,Jaipur Rural,Bassi APMC,Onion,Other,Local,25-02-2026,1200,1600,1400
Haryana,Mahendragarh-Narnaul,Narnaul APMC,Onion,Onion,Medium,25-02-2026,1000,1500,1200
Himachal Pradesh,Mandi,PMY Kangni Mandi,Banana,Banana - Ripe,Grade B,25-02-2026,3800,4600,4200
Uttar Pradesh,Mirzapur,Ahirora APMC,Onion,Other,Medium,25-02-2026,1300,1400,1400
Punjab,Patiala,Rajpura APMC,Apple,Apple,Grade A,25-02-2026,9550,13500,11500
Kerala,Alappuzha,Chengannur APMC,Ashgourd,Other,FAQ,25-02-2026,1800,2100,2000
Odisha,Mayurbhanja,Narasinghpur APMC,Cabbage,Cabbage,Large,25-02-2026,900,1500,1200
Kerala,Alappuzha,Chengannur APMC,Coconut,Big,FAQ,25-02-2026,5700,6100,5800
Kerala,Ernakulam,North Paravur APMC,Capsicum,Capsicum,FAQ,25-02-2026,6000,7000,6500
Haryana,Karnal,Indri APMC,Banana,Other,Medium,25-02-2026,2400,2400,2400
Uttar Pradesh,Shamli,Khandhla APMC,Brinjal,Brinjal,FAQ,25-02-2026,1500,1600,1550
Haryana,Kurukshetra,Ladwa APMC,Pomegranate,Pomogranate,Medium,25-02-2026,12000,14000,14000
Uttar Pradesh,Shahjahanpur,Jalalabad APMC,Paddy(Common),Paddy,FAQ,25-02-2026,2600,3100,2850
Punjab,Patiala,Rajpura APMC,Cauliflower,Cauliflower,Grade B,25-02-2026,400,550,500
Kerala,Ernakulam,North Paravur APMC,Cauliflower,African Sarson,FAQ,25-02-2026,2500,3500,3000
Kerala,Alappuzha,Chengannur APMC,Bhindi(Ladies Finger),Other,FAQ,25-02-2026,3600,3900,3800
Haryana,Karnal,Indri APMC,Potato,Potato,Non-FAQ,25-02-2026,400,400,400
Gujarat,Rajkot,Gondal(Veg.market Gondal) APMC,Cabbage,Cabbage,Local,25-02-2026,200,700,450
Kerala,Kozhikode(Calicut),Quilandy APMC,Beetroot,Other,FAQ,25-02-2026,2700,2800,2800
Haryana,Mahendragarh-Narnaul,Narnaul APMC,Mousambi(Sweet Lime),Mousambi,Medium,25-02-2026,3000,3500,3500
Odisha,Mayurbhanja,Narasinghpur APMC,Raddish,Raddish,Local,25-02-2026,800,1200,1000
Haryana,Karnal,Indri APMC,Tomato,Tomato,FAQ,25-02-2026,1200,2000,1800
